id,docid,type,eid,entity,prov,is_correct,category,expectation
304584,overlappingpdfs.132971.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132971.pdf.task_900_46_46,Albian|113.00000|100.50000,"{900,46,46,Albian}",,1,0.995
322662,overlappingpdfs.135332.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.135332.pdf.task_508_17_17,Wuchiapingian|259.90000|254.17000,"{508,17,17,Wuchiapingian}",,1,1
257264,overlappingpdfs.133062.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.133062.pdf.task_613_10_12_PART_1,Permian|298.90000|252.17000,"{613,10,12,Permian}",,1,1
218938,overlappingpdfs.138644.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138644.pdf.task_2969_35_35,Cretaceous|145.00000|66.00000,"{2969,35,35,Cretaceous}",,1,1
198531,overlappingpdfs.131000.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.131000.pdf.task_776_4_4,Cambrian|541.00000|485.40000,"{776,4,4,Cambrian}",,1,1
202379,overlappingpdfs.136149.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.136149.pdf.task_361_6_6,Canadian|485.40000|468.10000,"{361,6,6,Canadian}",,1,1
256601,overlappingpdfs.132241.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132241.pdf.task_974_22_22,Jurassic|201.30000|145.00000,"{974,22,22,Jurassic}",,1,1
212150,overlappingpdfs.133406.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.133406.pdf.task_781_1_1,Carboniferous|358.90000|298.90000,"{781,1,1,Carboniferous}",,1,1
303868,overlappingpdfs.137950.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.137950.pdf.task_77_26_26,Jurassic|201.30000|145.00000,"{77,26,26,Jurassic}",,1,1
163846,overlappingpdfs.131777.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.131777.pdf.task_11_13_13,Frasnian|382.70000|372.20000,"{11,13,13,Frasnian}",,1,1
173364,overlappingpdfs.132730.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132730.pdf.task_125_17_18,Early Cretaceous|145.5000|99.6000,"{125,17,18,""Early Cretaceous""}",,1,0.996
172484,overlappingpdfs.132064.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132064.pdf.task_50_31_31,Ohesaare|423.00000|419.20000,"{50,31,31,Ohesaare}",,1,1
213073,overlappingpdfs.133046.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.133046.pdf.task_487_19_19,Triassic|252.17000|201.30000,"{487,19,19,Triassic}",,1,1
277476,overlappingpdfs.1342.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.1342.pdf.task_320_0_1_PART_1,Campanian|83.60000|72.10000,"{320,0,1,Campanian}",,1,1
165958,overlappingpdfs.138679.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138679.pdf.task_744_27_27,Cretaceous|145.00000|66.00000,"{744,27,27,Cretaceous}",,1,1
329110,overlappingpdfs.136583.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.136583.pdf.task_378_5_5,Cambrian|541.00000|485.40000,"{378,5,5,Cambrian}",,1,1
169466,overlappingpdfs.132793.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132793.pdf.task_384_15_15,Cretaceous|145.00000|66.00000,"{384,15,15,Cretaceous}",,1,1
250145,overlappingpdfs.131219.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.131219.pdf.task_18_3_4,Late Ordovician|460.9000|443.7000,"{18,3,4,""Late Ordovician""}",,1,1
