id,docid,type,eid,entity,prov,is_correct,category,expectation
73234,overlappingpdfs.136699.pdf.task,member,ROCK_DOC_overlappingpdfs.136699.pdf.task_91_73_73,blizzard member,"{91,73,73,Blizzard}",,1,1
68699,overlappingpdfs.138083.pdf.task,sandstones,ROCK_DOC_overlappingpdfs.138083.pdf.task_1001_0_0,pondaung sandstones,"{1001,0,0,Pondaung}",,1,0.996
24909,overlappingpdfs.132261.pdf.task,group,ROCK_DOC_overlappingpdfs.132261.pdf.task_22_17_17,stem group,"{22,17,17,stem}",,1,0.988
106986,overlappingpdfs.131702.pdf.task,limestone,ROCK_DOC_overlappingpdfs.131702.pdf.task_267_7_9,currant bush limestone formation,"{267,7,9,""Currant Bush Limestone""}",,1,1
123990,overlappingpdfs.131439.pdf.task,member,ROCK_DOC_overlappingpdfs.131439.pdf.task_98_7_10,dunhill bluff limestone member,"{98,7,10,""Dunhill Bluff Limestone Member""}",,1,1
14587,overlappingpdfs.138679.pdf.task,member,ROCK_DOC_overlappingpdfs.138679.pdf.task_3505_15_16,sage breaks member,"{3505,15,16,""Sage Breaks""}",,1,0.999
13943,overlappingpdfs.131777.pdf.task,formation,ROCK_DOC_overlappingpdfs.131777.pdf.task_502_7_7,foreknobs formation,"{502,7,7,Foreknobs}",,1,1
42488,overlappingpdfs.138707.pdf.task,member,ROCK_DOC_overlappingpdfs.138707.pdf.task_462_41_41,valley member,"{462,41,41,valley}",,1,0.996
25061,overlappingpdfs.138465.pdf.task,marl,ROCK_DOC_overlappingpdfs.138465.pdf.task_323_31_31,manchester marl,"{323,31,31,Manchester}",,1,0.996
57152,overlappingpdfs.138644.pdf.task,group,ROCK_DOC_overlappingpdfs.138644.pdf.task_41_1_2,genus group,"{41,1,2,""GENUS GROUP""}",,1,0.999
57689,overlappingpdfs.13295.pdf.task,clay,ROCK_DOC_overlappingpdfs.13295.pdf.task_15_8_8,kimmeridge clay,"{15,8,8,KIMMERIDGE}",,1,1
33382,overlappingpdfs.138026.pdf.task,formation,ROCK_DOC_overlappingpdfs.138026.pdf.task_1379_39_40,bone valley formation,"{1379,39,40,""Bone Valley""}",,1,0.996
142785,overlappingpdfs.138453.pdf.task,formation,ROCK_DOC_overlappingpdfs.138453.pdf.task_2325_4_5,mahantango formation,"{2325,4,5,""Mahantango Formation""}",,1,1
111233,overlappingpdfs.132583.pdf.task,formation,ROCK_DOC_overlappingpdfs.132583.pdf.task_314_20_21,bromsgrove sandstone formation,"{314,20,21,""Bromsgrove Sandstone""}",,1,1
120099,overlappingpdfs.132594.pdf.task,formation,ROCK_DOC_overlappingpdfs.132594.pdf.task_21_2_3,valdemiedes formation,"{21,2,3,""Valdemiedes Formation""}",,1,0.996
126258,overlappingpdfs.132581.pdf.task,member,ROCK_DOC_overlappingpdfs.132581.pdf.task_595_2_4,nodular beds member,"{595,2,4,""Nodular Beds Member""}",,1,0.996
66131,overlappingpdfs.132367.pdf.task,member,ROCK_DOC_overlappingpdfs.132367.pdf.task_815_8_8,kathwai member,"{815,8,8,Kathwai}",,1,0.996
126369,overlappingpdfs.130860.pdf.task,limestone,ROCK_DOC_overlappingpdfs.130860.pdf.task_517_14_15,tamala limestone formation,"{517,14,15,""Tamala Limestone""}",,1,0.999
44045,overlappingpdfs.138707.pdf.task,formation,ROCK_DOC_overlappingpdfs.138707.pdf.task_2255_13_13,harrison formation,"{2255,13,13,Harrison}",,1,1
60108,overlappingpdfs.138755.pdf.task,formation,ROCK_DOC_overlappingpdfs.138755.pdf.task_929_8_9,tinton formation,"{929,8,9,""Tinton Formation""}",,1,1
129977,overlappingpdfs.136536.pdf.task,member,ROCK_DOC_overlappingpdfs.136536.pdf.task_209_5_6,seneca member,"{209,5,6,""Seneca Member""}",,1,1
41923,overlappingpdfs.138707.pdf.task,formation,ROCK_DOC_overlappingpdfs.138707.pdf.task_43_20_21,john day formation,"{43,20,21,""John Day""}",,1,1
58877,overlappingpdfs.138622.pdf.task,beds,ROCK_DOC_overlappingpdfs.138622.pdf.task_7028_83_84,oreodon beds formation,"{7028,83,84,""Oreodon beds""}",,1,0.998
11141,overlappingpdfs.138450.pdf.task,member,ROCK_DOC_overlappingpdfs.138450.pdf.task_2229_1_1,shale member,"{2229,1,1,Shale}",,1,1
149704,overlappingpdfs.133047.pdf.task,limestone,ROCK_DOC_overlappingpdfs.133047.pdf.task_463_5_6,pillara limestone formation,"{463,5,6,""Pillara Limestone""}",,1,0.996
92897,overlappingpdfs.132162.pdf.task,formation,ROCK_DOC_overlappingpdfs.132162.pdf.task_52_24_24,yixian formation,"{52,24,24,Yixian}",,1,1
144618,overlappingpdfs.138624.pdf.task,group,ROCK_DOC_overlappingpdfs.138624.pdf.task_3003_28_28,albany group,"{3003,28,28,Albany}",,1,0.996
151708,overlappingpdfs.136471.pdf.task,limestone,ROCK_DOC_overlappingpdfs.136471.pdf.task_85_9_10,steinvika limestone formation,"{85,9,10,""Steinvika Limestone""}",,1,1
143855,overlappingpdfs.138453.pdf.task,member,ROCK_DOC_overlappingpdfs.138453.pdf.task_671_20_20,wanakah member,"{671,20,20,Wanakah}",,1,0.996
52307,overlappingpdfs.133275.pdf.task,formation,ROCK_DOC_overlappingpdfs.133275.pdf.task_78_0_1,fron frys formation,"{78,0,1,""Fron Frys""}",,1,1
42064,overlappingpdfs.138707.pdf.task,formation,ROCK_DOC_overlappingpdfs.138707.pdf.task_179_15_15,day formation,"{179,15,15,Day}",,1,0.996
43205,overlappingpdfs.138707.pdf.task,formation,ROCK_DOC_overlappingpdfs.138707.pdf.task_1567_13_14,john day formation,"{1567,13,14,""John Day""}",,1,0.999
8683,overlappingpdfs.138450.pdf.task,formation,ROCK_DOC_overlappingpdfs.138450.pdf.task_2207_1_1,creek formation,"{2207,1,1,Creek}",,1,1
110764,overlappingpdfs.133113.pdf.task,formation,ROCK_DOC_overlappingpdfs.133113.pdf.task_811_6_6,santana formation,"{811,6,6,Santana}",,1,1
130673,overlappingpdfs.131528.pdf.task,formation,ROCK_DOC_overlappingpdfs.131528.pdf.task_314_6_6,whitewater formation,"{314,6,6,Whitewater}",,1,1
21204,overlappingpdfs.132730.pdf.task,formation,ROCK_DOC_overlappingpdfs.132730.pdf.task_344_8_8,santana formation,"{344,8,8,Santana}",,1,0.996
150374,overlappingpdfs.138482.pdf.task,formation,ROCK_DOC_overlappingpdfs.138482.pdf.task_1006_29_29,dinwoody formation,"{1006,29,29,Dinwoody}",,1,0.996
