id,docid,type,eid1,eid2,entity1,entity2,is_correct,category,expectation
599297,overlappingpdfs.133117.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.133117.pdf.task_160_15_15,TIME_DOC_overlappingpdfs.133117.pdf.task_160_12_12,flags formation,Arenig|478.60000|466.00000,,1,0.998
597034,overlappingpdfs.135573.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.135573.pdf.task_4_17_17,TIME_DOC_overlappingpdfs.135573.pdf.task_4_16_16,doushantuo formation,Neoproterozoic|1000.00000|541.00000,,1,0.996
584930,overlappingpdfs.138465.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138465.pdf.task_1872_4_5,TIME_DOC_overlappingpdfs.138465.pdf.task_1872_9_9,park city formation,Guadalupian|272.30000|259.90000,,1,1
593312,overlappingpdfs.138573.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138573.pdf.task_3293_11_11,TIME_DOC_overlappingpdfs.138573.pdf.task_3293_12_12,ogallala group,Clarendonian|13.60000|10.30000,,1,1
596539,overlappingpdfs.130651.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.130651.pdf.task_96_9_9,TIME_DOC_overlappingpdfs.130651.pdf.task_96_8_8,doushantuo formation,Neoproterozoic|1000.00000|541.00000,,1,1
597637,overlappingpdfs.133099.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.133099.pdf.task_452_11_12,TIME_DOC_overlappingpdfs.133099.pdf.task_452_9_10,alum shale,Late Cambrian|501.0000|488.3000,,1,1
608093,overlappingpdfs.135252.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.135252.pdf.task_154_23_23,TIME_DOC_overlappingpdfs.135252.pdf.task_154_18_18,hochmoos formation,Santonian|86.30000|83.60000,,1,0.996
601101,overlappingpdfs.133044.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.133044.pdf.task_1681_5_5,TIME_DOC_overlappingpdfs.133044.pdf.task_1681_3_4,dunderberg shale,Late Cambrian|501.0000|488.3000,,1,1
620909,overlappingpdfs.131277.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.131277.pdf.task_86_1_2,TIME_DOC_overlappingpdfs.131277.pdf.task_86_36_38_PART_1,solvik formation,Aeronian|440.80000|438.50000,,1,1
588075,overlappingpdfs.132446.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132446.pdf.task_466_5_5,TIME_DOC_overlappingpdfs.132446.pdf.task_466_3_3,messel formation,Eocene|56.00000|33.90000,,1,1
579778,overlappingpdfs.132874.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132874.pdf.task_13_30_31,TIME_DOC_overlappingpdfs.132874.pdf.task_13_28_29,navajo sandstone,Early Jurassic|199.6000|175.6000,t,1,1
616170,overlappingpdfs.133114.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.133114.pdf.task_671_10_11,TIME_DOC_overlappingpdfs.133114.pdf.task_671_8_9,klondike mountain formation,Middle Eocene|48.6000|37.2000,,1,1
605296,overlappingpdfs.132301.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132301.pdf.task_416_0_3,TIME_DOC_overlappingpdfs.132301.pdf.task_416_9_10,santa clara abajo formation,Late Triassic|228.0000|199.6000,,1,0.996
