weight	pos_examples	neg_examples	queries	description
0.447766	34	31	38	f_has_spouse_features-NGRAM_1_[married]
0.447183	45	27	46	f_has_spouse_features-NGRAM_1_[wed]
0.446951	52	171	479	f_has_spouse_features-INV_LENGTHS_[3_4]
0.446504	33	12	50	f_has_spouse_features-NGRAM_1_[companion]
0.446218	3556	4532	8882	f_has_spouse_features-INV_NER_SEQ_[O]
0.444546	2737	1331	2377	f_has_spouse_features-LEMMA_SEQ_[and]
0.43643	45	27	46	f_has_spouse_features-INV_NGRAM_1_[wed]
0.432554	104	54	69	f_has_spouse_features-INV_NGRAM_2_[marriage to]
0.430481	24	251	217	f_has_spouse_features-NGRAM_1_[Harrison]
0.430122	145	34	73	f_has_spouse_features-POS_SEQ_[CC PRP$ NN ,]
0.429458	2737	1331	2377	f_has_spouse_features-INV_LEMMA_SEQ_[and]
0.426531	2780	1371	2473	f_has_spouse_features-POS_SEQ_[CC]
0.426464	52	44	129	f_has_spouse_features-INV_NGRAM_2_[he and]
0.425472	382	462	972	f_has_spouse_features-INV_NER_SEQ_[O O O O O]
0.421682	140	139	286	f_has_spouse_features-NGRAM_1_[marriage]
0.415791	98	113	58	f_has_spouse_features-INV_NER_SEQ_[O O O O TITLE]
0.415228	1144	2398	4913	f_has_spouse_features-INV_NGRAM_1_[with]
